Source,MR0,MR12,MR21
0.219,0.13,0.243,0.274
0.209,0.127,0.153,0.205
0.105,0.13,0.178,0.237
0.228,0.117,0.22,0.223
0.117,0.118,0.165,0.191
0.176,0,0.279,0.14
0.246,0.117,0.206,0.18
0.209,0.118,0.198,0.13
0.254,0.107,0.146,0.193
0.102,0.123,0.189,0.186
0.109,0.148,0.134,0.215
0.281,0.117,0.155,0.273
0.135,0.123,0.159,0.202
0.238,0.001,0.198,0.198
0.168,0.116,0.166,0.19
0.277,0.124,0.184,0.242
0.175,0.12,0.239,0.137
0.175,0.108,0.196,0.125
0.147,0,0.199,0.122
0.197,0.132,0.096,0.222
0.18,0.125,0.18,0.095
0.237,0.136,0.231,0.281
0.177,0.126,0.177,0.168
0.175,0.118,0.184,0.216
0.194,0.12,0.251,0.236
0.191,0.133,0.155,0.263
0.162,0.139,0.245,0.161
0.217,0.131,0.168,0.168
0.119,0.12,0.136,0.168
0.166,0.133,0.198,0.28
0.221,0.105,0.168,0.126
0.142,0.115,0.231,0.128
0.085,0.13,0.269,0.205
0.136,0.121,0.19,0.157
0.217,0.115,0.185,0.135
0.09,0.123,0.213,0.2
0.202,0.126,0.093,0.239
0.165,0.134,0.16,0.192
0.18,0.135,0.164,0.214
0.216,0.102,0.151,0.13
0.164,0.135,0.237,0.207
0.207,0.116,0.248,0.12
0.114,0.119,0.181,0.193
0.213,0.117,0.179,0.225
0.205,0.14,0.273,0.186
0.267,0.145,0.149,0.22
0.084,0.113,0.219,0.147
0.125,0,0.175,0.159
0.217,0.123,0.11,0.068
0.186,0.134,0.211,0.141
0.215,0.143,0.254,0.082
0.296,0.119,0.095,0.163
0.264,0.12,0.153,0.182
0.129,0.135,0.241,0.15
0.14,0.123,0.218,0.167
0.215,0.116,0.154,0.156
0.238,0.132,0.183,0.231
0.208,0.121,0.149,0.228
0.247,0.132,0.186,0.186
0.164,0.136,0.294,0.153
0.167,0.134,0.189,0.18
0.149,0.123,0.235,0.151
0.131,0.122,0.228,0.176
0.174,0.145,0.231,0.244
0.168,0.124,0.146,0.139
0.123,0,0.21,0.266
0.168,0.148,0.184,0.243
0.205,0.129,0.171,0.258
0.147,0.131,0.269,0.172
0.161,0.131,0.174,0.176
0.179,0.124,0.218,0.143
0.071,0.127,0.115,0.242
0.184,0.146,0.183,0.136
0.112,0,0.197,0.163
0.253,0.147,0.252,0.17
0.292,0.137,0.262,0.198
0.183,0.129,0.121,0.244
0.147,0.113,0.207,0.14
0.204,0.136,0.195,0.184
0.138,0.119,0.13,0.22
0.206,0.114,0.229,0.09
0.265,0.133,0.197,0.179
0.186,0.128,0.144,0.152
0.156,0.143,0.279,0.13
0.278,0.128,0.183,0.206
0.154,0.14,0.167,0.126
0.154,0.134,0.148,0.225
0.174,0.132,0.195,0.191
0.176,0.136,0.218,0.255
0.25,0.13,0.132,0.115
0.232,0.116,0.179,0.242
0.182,0.15,0.246,0.146
0.137,0.12,0.208,0.16
0.186,0.13,0.159,0.189
0.149,0.134,0.227,0.144
0.229,0.109,0.115,0.126
0.245,0,0.159,0.2
0.159,0.125,0.202,0.26
0.177,0.117,0.105,0.107
0.266,0.111,0.22,0.169
